Tag,Name,"Data
            Length",Meaning,Reference
0,Pad,0,None,[RFC2132]
1,Subnet Mask,4,Subnet Mask Value,[RFC2132]
2,Time Offset,4,"Time Offset in Seconds from UTC                   
(note: deprecated by 100 and 101)",[RFC2132]
3,Router,N,N/4 Router addresses,[RFC2132]
4,Time Server,N,N/4 Timeserver addresses,[RFC2132]
5,Name Server,N,N/4 IEN-116 Server addresses,[RFC2132]
6,Domain Server,N,N/4 DNS Server addresses,[RFC2132]
7,Log Server,N,N/4 Logging Server addresses,[RFC2132]
8,Quotes Server,N,N/4 Quotes Server addresses,[RFC2132]
9,LPR Server,N,N/4 Printer Server addresses,[RFC2132]
10,Impress Server,N,N/4 Impress Server addresses,[RFC2132]
11,RLP Server,N,N/4 RLP Server addresses,[RFC2132]
12,Hostname,N,Hostname string,[RFC2132]
13,Boot File Size,2,Size of boot file in 512 byte chunks,[RFC2132]
14,Merit Dump File,N,Client to dump and name the file to dump it to,[RFC2132]
15,Domain Name,N,The DNS domain name of the client,[RFC2132]
16,Swap Server,N,Swap Server address,[RFC2132]
17,Root Path,N,Path name for root disk,[RFC2132]
18,Extension File,N,Path name for more BOOTP info,[RFC2132]
19,Forward On/Off,1,Enable/Disable IP Forwarding,[RFC2132]
20,SrcRte On/Off,1,Enable/Disable Source Routing,[RFC2132]
21,Policy Filter,N,Routing Policy Filters,[RFC2132]
22,Max DG Assembly,2,Max Datagram Reassembly Size,[RFC2132]
23,Default IP TTL,1,Default IP Time to Live,[RFC2132]
24,MTU Timeout,4,Path MTU Aging Timeout,[RFC2132]
25,MTU Plateau,N,Path MTU  Plateau Table,[RFC2132]
26,MTU Interface,2,Interface MTU Size,[RFC2132]
27,MTU Subnet,1,All Subnets are Local,[RFC2132]
28,Broadcast Address,4,Broadcast Address,[RFC2132]
29,Mask Discovery,1,Perform Mask Discovery,[RFC2132]
30,Mask Supplier,1,Provide Mask to Others,[RFC2132]
31,Router Discovery,1,Perform Router Discovery,[RFC2132]
32,Router Request,4,Router Solicitation Address,[RFC2132]
33,Static Route,N,Static Routing Table,[RFC2132]
34,Trailers,1,Trailer Encapsulation,[RFC2132]
35,ARP Timeout,4,ARP Cache Timeout,[RFC2132]
36,Ethernet,1,Ethernet Encapsulation,[RFC2132]
37,Default TCP TTL,1,Default TCP Time to Live,[RFC2132]
38,Keepalive Time,4,TCP Keepalive Interval,[RFC2132]
39,Keepalive Data,1,TCP Keepalive Garbage,[RFC2132]
40,NIS Domain,N,NIS Domain Name,[RFC2132]
41,NIS Servers,N,NIS Server Addresses,[RFC2132]
42,NTP Servers,N,NTP Server Addresses,[RFC2132]
43,Vendor Specific,N,Vendor Specific Information,[RFC2132]
44,NETBIOS Name Srv,N,NETBIOS Name Servers,[RFC2132]
45,NETBIOS Dist Srv,N,NETBIOS Datagram Distribution,[RFC2132]
46,NETBIOS Node Type,1,NETBIOS Node Type,[RFC2132]
47,NETBIOS Scope,N,NETBIOS Scope,[RFC2132]
48,X Window Font,N,X Window Font Server,[RFC2132]
49,X Window Manager,N,X Window Display Manager,[RFC2132]
50,Address Request,4,Requested IP Address,[RFC2132]
51,Address Time,4,IP Address Lease Time,[RFC2132]
52,Overload,1,"Overload ""sname"" or ""file""",[RFC2132]
53,DHCP Msg Type,1,DHCP Message Type,[RFC2132]
54,DHCP Server Id,4,DHCP Server Identification,[RFC2132]
55,Parameter List,N,Parameter Request List,[RFC2132]
56,DHCP Message,N,DHCP Error Message,[RFC2132]
57,DHCP Max Msg Size,2,DHCP Maximum Message Size,[RFC2132]
58,Renewal Time,4,DHCP Renewal (T1) Time,[RFC2132]
59,Rebinding Time,4,DHCP Rebinding (T2) Time,[RFC2132]
60,Class Id,N,Class Identifier,[RFC2132]
61,Client Id,N,Client Identifier,[RFC2132]
62,NetWare/IP Domain,N,NetWare/IP Domain Name,[RFC2242]
