Value,Description,Client ORO,Singleton Option,Reference
0,Reserved,,,
1,OPTION_CLIENTID,No,Yes,[RFC8415]
2,OPTION_SERVERID,No,Yes,[RFC8415]
3,OPTION_IA_NA,No,No,[RFC8415]
4,OPTION_IA_TA,No,No,[RFC8415]
5,OPTION_IAADDR,No,No,[RFC8415]
6,OPTION_ORO,No,Yes,[RFC8415]
7,OPTION_PREFERENCE,No,Yes,[RFC8415]
8,OPTION_ELAPSED_TIME,No,Yes,[RFC8415]
9,OPTION_RELAY_MSG,No,Yes,[RFC8415]
10,Unassigned,No,Yes,
11,OPTION_AUTH,No,Yes,[RFC8415]
12,OPTION_UNICAST,No,Yes,[RFC8415]
13,OPTION_STATUS_CODE,No,Yes,[RFC8415]
14,OPTION_RAPID_COMMIT,No,Yes,[RFC8415]
15,OPTION_USER_CLASS,No,Yes,[RFC8415]
16,OPTION_VENDOR_CLASS,No,No[1],[RFC8415]
17,OPTION_VENDOR_OPTS,Optional,No[1],[RFC8415]
18,OPTION_INTERFACE_ID,No,Yes,[RFC8415]
19,OPTION_RECONF_MSG,No,Yes,[RFC8415]
20,OPTION_RECONF_ACCEPT,No,Yes,[RFC8415]
21,OPTION_SIP_SERVER_D,Yes,Yes,[RFC3319]
22,OPTION_SIP_SERVER_A,Yes,Yes,[RFC3319]
23,OPTION_DNS_SERVERS,Yes,Yes,[RFC3646]
24,OPTION_DOMAIN_LIST,Yes,Yes,[RFC3646]
25,OPTION_IA_PD,No,No,[RFC3633][RFC8415]
26,OPTION_IAPREFIX,No,No,[RFC3633][RFC8415]
27,OPTION_NIS_SERVERS,Yes,Yes,[RFC3898]
28,OPTION_NISP_SERVERS,Yes,Yes,[RFC3898]
29,OPTION_NIS_DOMAIN_NAME,Yes,Yes,[RFC3898]
30,OPTION_NISP_DOMAIN_NAME,Yes,Yes,[RFC3898]
31,OPTION_SNTP_SERVERS,Yes,Yes,[RFC4075]
32,OPTION_INFORMATION_REFRESH_TIME,Required for Information-request,Yes,[RFC4242][RFC8415]
33,OPTION_BCMCS_SERVER_D,Yes,Yes,[RFC4280]
34,OPTION_BCMCS_SERVER_A,Yes,Yes,[RFC4280]
35,Unassigned,Yes,Yes,
36,OPTION_GEOCONF_CIVIC,Yes,Yes,[RFC4776]
37,OPTION_REMOTE_ID,No,Yes,[RFC4649]
38,OPTION_SUBSCRIBER_ID,No,Yes,[RFC4580]
39,OPTION_CLIENT_FQDN,Yes,Yes,[RFC4704]
40,OPTION_PANA_AGENT,Yes,Yes,[RFC5192]
41,OPTION_NEW_POSIX_TIMEZONE,Yes,Yes,[RFC4833]
42,OPTION_NEW_TZDB_TIMEZONE,Yes,Yes,[RFC4833]
43,OPTION_ERO,No,Yes,[RFC4994]
44,OPTION_LQ_QUERY,No,Yes,[RFC5007]
45,OPTION_CLIENT_DATA,No,Yes,[RFC5007]
46,OPTION_CLT_TIME,No,Yes,[RFC5007]
47,OPTION_LQ_RELAY_DATA,No,Yes,[RFC5007]
48,OPTION_LQ_CLIENT_LINK,No,Yes,[RFC5007]
49,OPTION_MIP6_HNIDF,Yes,Yes,[RFC6610]
50,OPTION_MIP6_VDINF,Yes,Yes,[RFC6610]
51,OPTION_V6_LOST,Yes,Yes,[RFC5223]
52,OPTION_CAPWAP_AC_V6,Yes,Yes,[RFC5417]
53,OPTION_RELAY_ID,No,Yes,[RFC5460]
54,OPTION-IPv6_Address-MoS,Yes,Yes,[RFC5678]
55,OPTION-IPv6_FQDN-MoS,Yes,Yes,[RFC5678]
56,OPTION_NTP_SERVER,Yes,Yes,[RFC5908]
57,OPTION_V6_ACCESS_DOMAIN,Yes,Yes,[RFC5986]
58,OPTION_SIP_UA_CS_LIST,Yes,Yes,[RFC6011]
59,OPT_BOOTFILE_URL,Yes,Yes,[RFC5970]
60,OPT_BOOTFILE_PARAM,Yes,Yes,[RFC5970]
61,OPTION_CLIENT_ARCH_TYPE,No,Yes,[RFC5970]
62,OPTION_NII,Yes,Yes,[RFC5970]
63,OPTION_GEOLOCATION,Yes,Yes,[RFC6225]
64,OPTION_AFTR_NAME,Yes,Yes,[RFC6334]
65,OPTION_ERP_LOCAL_DOMAIN_NAME,Yes,Yes,[RFC6440]
66,OPTION_RSOO,No,Yes,[RFC6422]
67,OPTION_PD_EXCLUDE,Yes,Yes,[RFC6603]
68,OPTION_VSS,No,Yes,[RFC6607]
69,OPTION_MIP6_IDINF,Yes,Yes,[RFC6610]
70,OPTION_MIP6_UDINF,Yes,Yes,[RFC6610]
71,OPTION_MIP6_HNP,Yes,Yes,[RFC6610]
72,OPTION_MIP6_HAA,Yes,Yes,[RFC6610]
73,OPTION_MIP6_HAF,Yes,Yes,[RFC6610]
74,OPTION_RDNSS_SELECTION,Yes,Yes,[RFC6731]
75,OPTION_KRB_PRINCIPAL_NAME,Yes,Yes,[RFC6784]
76,OPTION_KRB_REALM_NAME,Yes,Yes,[RFC6784]
77,OPTION_KRB_DEFAULT_REALM_NAME,Yes,Yes,[RFC6784]
78,OPTION_KRB_KDC,Yes,Yes,[RFC6784]
79,OPTION_CLIENT_LINKLAYER_ADDR,No,Yes,[RFC6939]
80,OPTION_LINK_ADDRESS,No,Yes,[RFC6977]
81,OPTION_RADIUS,No,Yes,[RFC7037]
82,OPTION_SOL_MAX_RT,Required for Solicit,Yes,[RFC7083][RFC8415]
83,OPTION_INF_MAX_RT,Required for Information-request,Yes,[RFC7083][RFC8415]
84,OPTION_ADDRSEL,Yes,Yes,[RFC7078]
85,OPTION_ADDRSEL_TABLE,Yes,Yes,[RFC7078]
86,OPTION_V6_PCP_SERVER,Yes,No,[RFC7291]
87,OPTION_DHCPV4_MSG,No,Yes,[RFC7341]
88,OPTION_DHCP4_O_DHCP6_SERVER,Yes,Yes,[RFC7341]
89,OPTION_S46_RULE,No,No[2],[RFC7598]
90,OPTION_S46_BR,Yes,No,[RFC7598][RFC8539]
91,OPTION_S46_DMR,No,Yes,[RFC7598]
92,OPTION_S46_V4V6BIND,No,Yes,[RFC7598]
93,OPTION_S46_PORTPARAMS,No,Yes,[RFC7598]
94,OPTION_S46_CONT_MAPE,Yes,No,[RFC7598]
95,OPTION_S46_CONT_MAPT,Yes,Yes,[RFC7598]
96,OPTION_S46_CONT_LW,Yes,Yes,[RFC7598]
97,OPTION_4RD,Yes,Yes,[RFC7600]
98,OPTION_4RD_MAP_RULE,Yes,Yes,[RFC7600]
99,OPTION_4RD_NON_MAP_RULE,Yes,Yes,[RFC7600]
100,OPTION_LQ_BASE_TIME,No,Yes,[RFC7653]
101,OPTION_LQ_START_TIME,No,Yes,[RFC7653]
102,OPTION_LQ_END_TIME,No,Yes,[RFC7653]
103,DHCP Captive-Portal,Yes,Yes,[RFC8910]
104,OPTION_MPL_PARAMETERS,Yes,No,[RFC7774]
105,OPTION_ANI_ATT,No,Yes,[RFC7839]
106,OPTION_ANI_NETWORK_NAME,No,Yes,[RFC7839]
107,OPTION_ANI_AP_NAME,No,Yes,[RFC7839]
108,OPTION_ANI_AP_BSSID,No,Yes,[RFC7839]
109,OPTION_ANI_OPERATOR_ID,No,Yes,[RFC7839]
110,OPTION_ANI_OPERATOR_REALM,No,Yes,[RFC7839]
111,OPTION_S46_PRIORITY,Yes,Yes,[RFC8026]
112,OPTION_MUD_URL_V6,No,Yes,[RFC8520]
113,OPTION_V6_PREFIX64,Yes,No,[RFC8115]
114,OPTION_F_BINDING_STATUS,No,Yes,[RFC8156]
115,OPTION_F_CONNECT_FLAGS,No,Yes,[RFC8156]
116,OPTION_F_DNS_REMOVAL_INFO,No,Yes,[RFC8156]
117,OPTION_F_DNS_HOST_NAME,No,Yes,[RFC8156]
118,OPTION_F_DNS_ZONE_NAME,No,Yes,[RFC8156]
119,OPTION_F_DNS_FLAGS,No,Yes,[RFC8156]
120,OPTION_F_EXPIRATION_TIME,No,Yes,[RFC8156]
121,OPTION_F_MAX_UNACKED_BNDUPD,No,Yes,[RFC8156]
122,OPTION_F_MCLT,No,Yes,[RFC8156]
123,OPTION_F_PARTNER_LIFETIME,No,Yes,[RFC8156]
124,OPTION_F_PARTNER_LIFETIME_SENT,No,Yes,[RFC8156]
125,OPTION_F_PARTNER_DOWN_TIME,No,Yes,[RFC8156]
126,OPTION_F_PARTNER_RAW_CLT_TIME,No,Yes,[RFC8156]
127,OPTION_F_PROTOCOL_VERSION,No,Yes,[RFC8156]
128,OPTION_F_KEEPALIVE_TIME,No,Yes,[RFC8156]
129,OPTION_F_RECONFIGURE_DATA,No,Yes,[RFC8156]
130,OPTION_F_RELATIONSHIP_NAME,No,Yes,[RFC8156]
131,OPTION_F_SERVER_FLAGS,No,Yes,[RFC8156]
132,OPTION_F_SERVER_STATE,No,Yes,[RFC8156]
133,OPTION_F_START_TIME_OF_STATE,No,Yes,[RFC8156]
134,OPTION_F_STATE_EXPIRATION_TIME,No,Yes,[RFC8156]
135,OPTION_RELAY_PORT,No,Yes,[RFC8357]
136,OPTION_V6_SZTP_REDIRECT,Yes,Yes,[RFC8572]
137,OPTION_S46_BIND_IPV6_PREFIX,Yes,Yes,[RFC8539]
138,OPTION_IA_LL,No,No,[RFC8947]
139,OPTION_LLADDR,No,No,[RFC8947]
140,OPTION_SLAP_QUAD,No,Yes,[RFC8948]
